Plate,Datetime,Status
3AAG1O1EAGVATI,2025-07-30 17:38:10,Unauthorized
3AA0101J0IIM,2025-07-30 17:38:11,Unauthorized
AA0101BAGMATI,2025-07-30 17:38:13,Unauthorized
AA101BAGMATII,2025-07-30 17:38:16,Unauthorized
AA011IBAGMATI,2025-07-30 17:38:19,Unauthorized
BAA0101BAGMATI,2025-07-30 17:38:21,Authorized
BAA01DIBGVAI,2025-07-30 17:38:24,Unauthorized
3AAO101BAGIAATI,2025-07-30 17:38:25,Unauthorized
3AA0101BAGMATI,2025-07-30 17:38:26,Unauthorized
AA0101WAOMATI,2025-07-30 17:38:27,Unauthorized
BAAO1O1BAGMATI,2025-07-30 17:38:28,Unauthorized
BAA01O1BAGMATI,2025-07-30 17:38:29,Unauthorized
BAA4777BAGMATI,2025-07-30 17:38:31,Unauthorized
BAA4777BAGVATI,2025-07-30 17:38:32,Unauthorized
BAA4777DAGMATI,2025-07-30 17:38:33,Unauthorized
BAA4777BAGVAM,2025-07-30 17:38:33,Unauthorized
BAA4777AAGMAT,2025-07-30 17:38:34,Unauthorized
AA4777SOII,2025-07-30 17:38:35,Unauthorized
3AA4777BAGMATI,2025-07-30 17:38:40,Unauthorized
AA4777BAGMATI,2025-07-30 17:38:40,Unauthorized
5AA4777BAGMATI,2025-07-30 17:38:41,Unauthorized
BAA4777OAGMATI,2025-07-30 17:38:44,Unauthorized
BAA47773UMN,2025-07-30 17:38:46,Unauthorized
BAA4777BAGMATI,2025-07-30 17:38:51,Unauthorized
BAA4777BAGMAATI,2025-07-30 17:38:53,Unauthorized
BAA4777BAGMATA,2025-07-30 17:38:54,Unauthorized
BAA4777BAGMAT,2025-07-30 17:39:02,Unauthorized
BAA47770AGMATI,2025-07-30 17:39:03,Unauthorized
BAA4777BAGVATI,2025-07-30 17:39:07,Unauthorized
BAA4777AAGMATI,2025-07-30 17:39:08,Unauthorized
BAA4Z77BAGMATA,2025-07-30 17:39:11,Unauthorized
BAA4777BAGMATI,2025-07-30 17:39:11,Unauthorized
THORIZED,2025-07-30 17:39:12,Unauthorized
BAA477AGMATI,2025-07-30 17:39:16,Unauthorized
BAA47770AGMATI,2025-07-30 17:39:24,Unauthorized
BAA4777AGMATI,2025-07-30 17:39:26,Unauthorized
